1
136.40,29.56,41.00,124.00
138.36,31.94,41.00,124.00
138.68,34.83,41.00,124.00
137.83,36.33,41.00,124.00
136.10,30.12,41.00,124.00
134.86,28.77,41.00,124.00
139.36,28.62,41.00,124.00
136.53,20.38,41.00,124.00
140.72,21.03,41.00,124.00
137.66,27.34,41.00,124.00
140.68,35.74,41.00,124.00
135.27,33.08,41.00,124.00
132.46,39.64,41.00,124.00
138.71,44.68,41.00,124.00
136.60,46.34,41.00,124.00
133.48,42.39,41.00,124.00
134.20,44.96,41.00,124.00
134.60,44.69,41.00,124.00
132.74,43.44,41.00,124.00
133.03,46.37,41.00,124.00
131.02,43.03,41.00,124.00
121.07,34.17,41.00,124.00
119.84,35.63,41.00,124.00
124.98,34.05,41.00,124.00
125.25,38.95,41.00,124.00
125.05,36.40,41.00,124.00
133.26,23.34,41.00,124.00
137.56,25.77,41.00,124.00
137.55,25.83,41.00,124.00
139.34,26.79,41.00,124.00
133.28,30.81,41.00,124.00
130.50,36.51,41.00,124.00
137.06,29.60,41.00,124.00
135.94,25.22,41.00,124.00
138.41,31.22,41.00,124.00
137.57,32.44,41.00,124.00
145.51,36.03,41.00,124.00
151.51,36.63,41.00,124.00
153.02,43.83,41.00,124.00
157.21,47.05,41.00,124.00
141.54,52.35,41.00,124.00
143.71,54.23,41.00,124.00
143.99,46.16,41.00,124.00
155.82,45.88,41.00,124.00
170.07,39.54,41.00,124.00
2
0
0
0
0
1
130.45,34.85,40.00,123.00
129.69,36.16,40.00,123.00
129.57,35.60,40.00,123.00
129.53,37.46,40.00,123.00
130.66,42.44,40.00,123.00
130.68,45.61,40.00,123.00
127.93,48.22,40.00,123.00
125.48,45.21,40.00,123.00
124.77,48.82,40.00,123.00
124.18,49.56,40.00,123.00
126.13,50.26,40.00,123.00
124.71,52.38,40.00,123.00
130.82,35.93,40.00,123.00
127.34,34.85,40.00,123.00
129.23,37.61,40.00,123.00
127.93,33.36,40.00,123.00
131.20,36.81,40.00,123.00
136.68,33.66,40.00,123.00
141.77,34.36,40.00,123.00
144.30,30.71,40.00,123.00
145.45,35.75,40.00,123.00
138.75,39.00,40.00,123.00
138.12,44.27,40.00,123.00
133.61,45.84,40.00,123.00
132.73,44.38,40.00,123.00
136.23,46.30,40.00,123.00
